name,lat,lon
বান্দরবান,22.1972889,92.2217498
মাইনী নদী,23.115,91.95
jaliapara,22.9461,91.862
Rangamati,22.633333,92.2
bandarban,21.787476,92.4124752
হাতিমুড়া,23.11,91.98
মিরিঞ্জা,21.7825,92.1764
hatimura,23.11,91.98
রাজস্থলী,22.3833,92.2417
kharulia,21.42484,21.42484
বিলাইছড়ী,22.4667,92.375
বাজালিয়া,22.1195,92.143
মানিকছড়ি,22.8396,91.8413
দীঘিনালা,23.2583,92.0583
খাগড়াছড়ি,23.106,91.979
কর্ণফুলী,22.3,91.8530807
রোয়াংছড়ি,22.1667,92.3333
বাঘাইহাট,23.279889,92.223667
panchari,23.2903,91.8969°
alikadam,21.6588,92.3186
kaukhali,22.6274266,92.375
বিলাইছড়ি,22.4667,92.3369657
Noyonpur,23.1322,91.949
কাঠালতলী,22.65124,92.19612
Bajalia,22.1195,92.143
ফটিকছড়ি,22.6877,91.7812
alutila,23.08833,91.95667
সাপমারা,22.8465,92.1481
ramgarh,22.9561,91.7476
চিম্বুক,22.0588,92.2704
Alutila,23.08833,91.95667
guimara,22.9573219,91.866344
কাপ্তাই,22.5021519,92.2111823
জুরাছড়ি,22.6582,92.3883
গুইমারা,22.9597,91.8681
mirinja,21.7825,92.1764
সবুজবাগ,23.7372455,90.4293578
বাঘমারা,24.6687042,90.8655535
thanchi,21.7861,92.4278
লঞ্চঘাট,22.65579,92.19587
Jamtola,23.7942677,90.3759754
sapmara,22.8465,92.1481
Guimara,22.9597,91.8681
কাউখালী,22.5333,92.0167
Chimbuk,22.0588,92.2704
পৌরসভা,22.6509,92.1814
ramgor,22.9561,91.7476
ghagra,22.64309,92.04956
জামতলী,21.1618,92.1523103
amtoli,22.1330809,90.2306661
পানছড়ি,23.2903,91.8969°
জামতলা,21.8501918,89.8329331
নয়নপুর,23.1322,91.949
kaptai,22.5001158,92.2155989
আলীকদম,21.6588358,92.3186
লংগদু,22.95,92.15
থানচি,21.7861,92.4278
ঘাগড়া,22.64309,92.04956
আমতলী,22.1330809,90.2306661
পটিয়া,22.2990557,91.9776525
sajek,23.3857,92.292
সাজেক,23.3857,92.292
রামু,21.4324,92.1008
ruma,22.05,92.4167
লামা,21.775,92.2
ramu,21.4324,92.1008
রুমা,22.05,92.4167
বরকল,22.7333,92.3583
lama,21.775,92.2
jail,22.6592326,89.7941027
আলুটিলা ,23.08833,91.95667
রামগড় ,22.9561,91.7476
